#{"t_start": 1729511790.5134616, "env_id": "CarRacingCustomTest-v0"}
r,l,t
141020.158842,1000,44166.358312
165664.792958,1000,44235.020376
81525.952343,1000,44303.529928
189422.771616,1000,44371.400692
166740.432557,1000,44439.491119
76403.934257,1000,44507.637836
141140.337103,1000,44626.53716
126256.164661,1000,44694.518478
135297.147893,1000,44763.382865
172864.570488,1000,44831.453017
145595.263346,1000,44900.004642
221463.55141,1000,44967.681421
124882.772862,1000,45086.287782
209669.850266,1000,45154.198147
186428.555162,1000,45222.358427
201202.902485,1000,45290.259186
162559.022224,1000,45358.785375
169890.991737,1000,45427.123301
68783.912804,1000,45495.794823
171096.590193,1000,45613.446265
156457.673936,1000,45678.363201
278941.068409,1000,45747.105832
192286.262007,1000,45815.013437
178453.275174,1000,45883.335085
205598.675698,1000,45950.996948
101271.697694,1000,46070.422368
275782.602097,1000,46138.135129
108480.518764,1000,46206.805686
196202.109673,1000,46275.585074
203475.161621,1000,46343.515504
140540.35919,1000,46412.397462
78228.9162,1000,46532.410556
228861.449421,1000,46600.041936
183611.41499,1000,46668.791681
239878.456474,1000,46737.316537
268752.736372,1000,46805.698287
169397.526961,1000,46873.831395
107093.585107,1000,46994.884344
148247.890968,1000,47063.271875
216001.905807,1000,47131.011149
126762.814303,1000,47200.060977
110661.958158,1000,47269.226526
207226.237942,1000,47337.130498
118781.300014,1000,47405.328506
105285.040041,1000,47524.361257
186778.312882,1000,47591.251892
201433.036432,1000,47659.811469
301092.321553,1000,47728.430555
163897.470819,1000,47797.204304
174171.478972,1000,47865.529678
149346.100956,1000,47985.543046
203266.702975,1000,48054.338399
219598.675698,1000,48122.292477
175036.608508,1000,48190.519459
166924.868079,1000,48258.127513
107608.252,1000,48325.849159
176666.28866,1000,48446.574438
121650.644247,1000,48514.767642
248246.032948,1000,48584.57602
175488.378045,1000,48653.983178
190997.051022,1000,48722.705831
284324.602394,1000,48790.711343
92615.549628,1000,48914.019743
166829.035713,1000,48980.409745
138424.347878,1000,49048.76313
201135.527789,1000,49117.520827
203790.092343,1000,49186.955364
277372.879875,1000,49254.21853
67035.128399,1000,49322.48225
139285.443006,1000,49442.507324
187477.542574,1000,49511.201436
175752.683301,1000,49580.919835
190225.366434,1000,49649.289982
176194.334553,1000,49716.950924
151319.631667,1000,49785.724657
167439.623702,1000,49905.819007
109593.550679,1000,49973.438066
185686.134706,1000,50041.651329
164435.345497,1000,50109.936051
179948.971145,1000,50179.066766
125949.0105,1000,50247.051766
146479.374075,1000,50367.683271
145855.325266,1000,50435.663341
45222.440533,1000,50504.431309
184508.759505,1000,50573.199799
117171.850182,1000,50641.374254
155321.602382,1000,50709.631262
149489.562172,1000,50832.321947
112888.797985,1000,50900.551645
171793.785635,1000,50969.016815
158563.991918,1000,51037.012225
112053.264666,1000,51106.364337
134234.0565,1000,51174.825656
136655.823642,1000,51243.323315
75309.147796,1000,51363.880361
145136.328623,1000,51432.00848
170650.219411,1000,51501.301101
145603.558834,1000,51569.660102
209052.764527,1000,51638.429062
182790.467744,1000,51707.05558
168546.025637,1000,51827.501651
51743.018764,1000,51895.541528
102718.651675,1000,51964.038079
96786.899883,1000,52032.45533
88451.235547,1000,52100.898993
166181.764468,1000,52166.957277
162714.731567,1000,52288.020143
138041.772917,1000,52355.751953
141345.140535,1000,52424.502095
125926.912045,1000,52492.927903
123866.610313,1000,52561.743152
133645.984866,1000,52630.142643
131694.162555,1000,52756.045233
156289.546542,1000,52825.309758
105911.791006,1000,52893.299297
134297.536836,1000,52962.512369
133118.018764,1000,53031.11574
145958.716438,1000,53098.630931
225420.726345,1000,53166.710041
202385.247228,1000,53287.716557
229153.258616,1000,53356.457687
168105.949798,1000,53425.010818
132281.811867,1000,53492.702555
187807.594736,1000,53560.714086
171564.792958,1000,53629.730298
179810.159232,1000,53750.447994
212074.268764,1000,53818.468013
166144.370115,1000,53886.686138
151532.760405,1000,53955.271627
199635.875907,1000,54023.264846
191630.603798,1000,54092.15573
150298.15575,1000,54213.459826
160626.060722,1000,54281.999818
226813.852097,1000,54350.374253
141762.530959,1000,54419.113628
176832.492448,1000,54487.275084
166263.606999,1000,54554.780584
300483.808238,1000,54676.709773
183164.782518,1000,54744.162915
153598.995195,1000,54811.772074
175743.36123,1000,54880.373354
194209.843859,1000,54948.731646
189955.897552,1000,55017.104085
96264.238695,1000,55085.692421
121384.625262,1000,55207.257629
134882.847661,1000,55275.197563
188164.230885,1000,55344.538726
141956.480302,1000,55413.155266
151683.377126,1000,55479.244472
157537.022454,1000,55547.415033
130421.841394,1000,55668.75148
163311.363474,1000,55736.801677
100503.27888,1000,55805.796959
106614.17261,1000,55874.706209
175236.871223,1000,55942.559949
150754.632937,1000,56011.051085
143400.371705,1000,56136.464222
143436.537283,1000,56205.34154
115653.048704,1000,56274.203924
119337.083512,1000,56342.927011
153431.176659,1000,56410.739111
170430.567027,1000,56477.869533
139577.804697,1000,56599.224064
177568.692165,1000,56667.006936
190923.493217,1000,56734.736986
159083.808238,1000,56804.422048
152294.524788,1000,56873.524927
160625.894222,1000,56942.127277
153722.072818,1000,57011.254028
100091.973137,1000,57132.539247
147899.053247,1000,57199.713468
150990.025236,1000,57268.582102
175565.828983,1000,57337.089514
113798.680785,1000,57405.429822
